borrower_id,capacity_top_positive,capacity_top_negative,capacity_driver_note,character_top_positive,character_top_negative,character_driver_note,capital_top_positive,capital_top_negative,capital_driver_note,compliance_top_positive,compliance_top_negative,compliance_driver_note,collateral_top_positive,collateral_top_negative,collateral_driver_note
MSME-00131,Current ratio,Supplier concentration,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00132,Current ratio,Customer concentration,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Rent payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00133,Revenue CAGR (3yr),Supplier concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00134,Customer concentration,Cash flow vs. declared turnover match,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Rent payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00135,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Utility payment timeliness,,,,no data available for this dimension
MSME-00136,Current ratio,Supplier concentration,,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00137,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,,no data available for this dimension,EPFO on-time remittance ratio,Utility payment timeliness,,,,no data available for this dimension
MSME-00138,Revenue CAGR (3yr),Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00139,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,Salary payment timeliness,,,Collateral quality,only one scoring feature available in this prototype - no comparison possible
MSME-00140,Debt service coverage ratio,Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Bank covenant compliance,Salary payment timeliness,,,,no data available for this dimension
MSME-00141,Current ratio,Supplier concentration,,Civil suit status,Bureau score,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,GST on-time filing ratio,,,,no data available for this dimension
MSME-00142,Interest coverage ratio,Revenue CAGR (3yr),,Other legal dispute status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Utility payment timeliness,,,,no data available for this dimension
MSME-00143,Debt service coverage ratio,Supplier concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Bank covenant compliance,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00144,Revenue CAGR (3yr),Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Rent payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00145,Projected revenue growth,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Salary payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00146,Revenue CAGR (3yr),Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Salary payment timeliness,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00147,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Utility payment timeliness,,,Collateral quality,only one scoring feature available in this prototype - no comparison possible
MSME-00148,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00149,Cash flow vs. declared turnover match,Leverage (debt / net worth),,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Rent payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00150,Current ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00151,Cash flow vs. declared turnover match,Projected revenue growth,,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,EPFO on-time remittance ratio,,,,no data available for this dimension
MSME-00152,Debt service coverage ratio,Customer concentration,,Civil suit status,Bureau score,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,EPFO on-time remittance ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00153,Debt service coverage ratio,Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Bank covenant compliance,Salary payment timeliness,,,,no data available for this dimension
MSME-00154,Debt service coverage ratio,Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Utility payment timeliness,,,,no data available for this dimension
MSME-00155,Interest coverage ratio,Revenue CAGR (3yr),,Civil suit status,Other legal dispute status,,,,no data available for this dimension,Salary payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00156,Interest coverage ratio,Revenue CAGR (3yr),,Civil suit status,Cheque bounce rate,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,Salary payment timeliness,,,,no data available for this dimension
MSME-00157,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Salary payment timeliness,Utility payment timeliness,,,,no data available for this dimension
MSME-00158,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,Utility payment timeliness,,,,no data available for this dimension
MSME-00159,Debt service coverage ratio,Supplier concentration,,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,EPFO on-time remittance ratio,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00160,Debt service coverage ratio,Projected revenue growth,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Rent payment timeliness,Bank covenant compliance,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00161,Revenue CAGR (3yr),Cash flow vs. declared turnover match,,Other legal dispute status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00162,Debt service coverage ratio,Supplier concentration,,Bureau score,Cheque bounce rate,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,EPFO on-time remittance ratio,GST on-time filing ratio,,,Collateral quality,only one scoring feature available in this prototype - no comparison possible
MSME-00163,Revenue CAGR (3yr),Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00164,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Bank covenant compliance,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00165,Customer concentration,Cash flow vs. declared turnover match,,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Rent payment timeliness,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00166,Debt service coverage ratio,Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Bank covenant compliance,,,,no data available for this dimension
MSME-00167,Cash flow vs. declared turnover match,Leverage (debt / net worth),,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Salary payment timeliness,Rent payment timeliness,,,Collateral quality,only one scoring feature available in this prototype - no comparison possible
MSME-00168,Debt service coverage ratio,Customer concentration,,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,Salary payment timeliness,,,,no data available for this dimension
MSME-00169,Cash flow vs. declared turnover match,Projected revenue growth,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00170,Interest coverage ratio,Revenue CAGR (3yr),,Civil suit status,Bureau score,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00171,Projected revenue growth,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00172,Debt service coverage ratio,Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Bank covenant compliance,Bank covenant compliance,,,,no data available for this dimension
MSME-00173,Current ratio,Cash flow vs. declared turnover match,,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,Rent payment timeliness,,,,no data available for this dimension
MSME-00174,Revenue CAGR (3yr),Cash flow vs. declared turnover match,,Civil suit status,Other legal dispute status,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,EPFO on-time remittance ratio,Salary payment timeliness,,,Collateral quality,only one scoring feature available in this prototype - no comparison possible
MSME-00175,Debt service coverage ratio,Revenue CAGR (3yr),,Bureau score,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00176,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Rent payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00177,Revenue CAGR (3yr),Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00178,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00179,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Bureau score,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,EPFO on-time remittance ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00180,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Utility payment timeliness,,,Collateral quality,only one scoring feature available in this prototype - no comparison possible
MSME-00181,Interest coverage ratio,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Salary payment timeliness,Utility payment timeliness,,,Collateral quality,only one scoring feature available in this prototype - no comparison possible
MSME-00182,Leverage (debt / net worth),Revenue CAGR (3yr),,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Rent payment timeliness,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00183,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Rent payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00184,Current ratio,Supplier concentration,,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,GST on-time filing ratio,,,,no data available for this dimension
MSME-00185,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Bureau score,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,EPFO on-time remittance ratio,,,,no data available for this dimension
MSME-00186,Leverage (debt / net worth),Revenue CAGR (3yr),,Civil suit status,Other legal dispute status,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00187,Projected revenue growth,Supplier concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Rent payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00188,Interest coverage ratio,Cash flow vs. declared turnover match,,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,Rent payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00189,Current ratio,Customer concentration,,Bureau score,Cheque bounce rate,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00190,Revenue CAGR (3yr),Projected revenue growth,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Salary payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00191,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Rent payment timeliness,EPFO on-time remittance ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00192,Debt service coverage ratio,Cash flow vs. declared turnover match,,Other legal dispute status,Civil suit status,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,Rent payment timeliness,,,,no data available for this dimension
MSME-00193,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00194,Current ratio,Cash flow vs. declared turnover match,,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00195,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,Salary payment timeliness,,,,no data available for this dimension
MSME-00196,Current ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00197,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Utility payment timeliness,,,,no data available for this dimension
MSME-00198,Leverage (debt / net worth),Customer concentration,,Civil suit status,Bureau score,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Rent payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00199,Interest coverage ratio,Revenue CAGR (3yr),,Other legal dispute status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,Salary payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00200,Cash flow vs. declared turnover match,Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,Salary payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00201,Leverage (debt / net worth),Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,GST on-time filing ratio,,,,no data available for this dimension
MSME-00202,Debt service coverage ratio,Revenue CAGR (3yr),,Bureau score,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Utility payment timeliness,,,,no data available for this dimension
MSME-00203,Debt service coverage ratio,Supplier concentration,,Other legal dispute status,Civil suit status,,,,no data available for this dimension,Bank covenant compliance,Bank covenant compliance,,,,no data available for this dimension
MSME-00204,Debt service coverage ratio,Supplier concentration,,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00205,Current ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Rent payment timeliness,Utility payment timeliness,,,,no data available for this dimension
MSME-00206,Projected revenue growth,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00207,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Salary payment timeliness,Utility payment timeliness,,,,no data available for this dimension
MSME-00208,Projected revenue growth,Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00209,Leverage (debt / net worth),Projected revenue growth,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Utility payment timeliness,,,,no data available for this dimension
MSME-00210,Current ratio,Cash flow vs. declared turnover match,,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Utility payment timeliness,,,,no data available for this dimension
MSME-00211,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,Rent payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00212,Supplier concentration,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Utility payment timeliness,,,,no data available for this dimension
MSME-00213,Revenue CAGR (3yr),Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00214,Leverage (debt / net worth),Revenue CAGR (3yr),,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00215,Current ratio,Customer concentration,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,EPFO on-time remittance ratio,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00216,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Bureau score,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,Rent payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00217,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00218,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Salary payment timeliness,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00219,Debt service coverage ratio,Supplier concentration,,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,GST on-time filing ratio,,,Collateral quality,only one scoring feature available in this prototype - no comparison possible
MSME-00220,Cash flow vs. declared turnover match,Supplier concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Utility payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00221,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,Bank covenant compliance,,,,no data available for this dimension
MSME-00222,Current ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00223,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,,no data available for this dimension,Rent payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00224,Debt service coverage ratio,Cash flow vs. declared turnover match,,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Rent payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00225,Debt service coverage ratio,Revenue CAGR (3yr),,Other legal dispute status,Civil suit status,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,GST on-time filing ratio,,,,no data available for this dimension
MSME-00226,Current ratio,Customer concentration,,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00227,Customer concentration,Cash flow vs. declared turnover match,,Civil suit status,Cheque bounce rate,,,,no data available for this dimension,GST on-time filing ratio,Utility payment timeliness,,,,no data available for this dimension
MSME-00228,Current ratio,Supplier concentration,,Bureau score,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Rent payment timeliness,Utility payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00229,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Rent payment timeliness,EPFO on-time remittance ratio,,,Collateral quality,only one scoring feature available in this prototype - no comparison possible
MSME-00230,Current ratio,Customer concentration,,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00231,Revenue CAGR (3yr),Projected revenue growth,,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00232,Debt service coverage ratio,Cash flow vs. declared turnover match,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Rent payment timeliness,Utility payment timeliness,,,,no data available for this dimension
MSME-00233,Debt service coverage ratio,Projected revenue growth,,Other legal dispute status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00234,Cash flow vs. declared turnover match,Projected revenue growth,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00235,Debt service coverage ratio,Supplier concentration,,Bureau score,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Utility payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00236,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,Rent payment timeliness,,,,no data available for this dimension
MSME-00237,Current ratio,Customer concentration,,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Rent payment timeliness,Utility payment timeliness,,,,no data available for this dimension
MSME-00238,Current ratio,Supplier concentration,,Other legal dispute status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Utility payment timeliness,,,,no data available for this dimension
MSME-00239,Projected revenue growth,Customer concentration,,Bureau score,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Salary payment timeliness,,,,no data available for this dimension
MSME-00240,Projected revenue growth,Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,Salary payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00241,Debt service coverage ratio,Supplier concentration,,Bureau score,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00242,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,Salary payment timeliness,,,,no data available for this dimension
MSME-00243,Current ratio,Cash flow vs. declared turnover match,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00244,Leverage (debt / net worth),Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00245,Revenue CAGR (3yr),Supplier concentration,,Civil suit status,Bureau score,,,,no data available for this dimension,GST on-time filing ratio,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00246,Debt service coverage ratio,Customer concentration,,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,EPFO on-time remittance ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00247,Debt service coverage ratio,Supplier concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Bank covenant compliance,Utility payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00248,Debt service coverage ratio,Projected revenue growth,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,Rent payment timeliness,,,,no data available for this dimension
MSME-00249,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Other legal dispute status,,,,no data available for this dimension,Salary payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00250,Projected revenue growth,Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00251,Debt service coverage ratio,Revenue CAGR (3yr),,Other legal dispute status,Bureau score,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,EPFO on-time remittance ratio,,,,no data available for this dimension
MSME-00252,Debt service coverage ratio,Cash flow vs. declared turnover match,,Civil suit status,Bureau score,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,Utility payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00253,Leverage (debt / net worth),Supplier concentration,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00254,Debt service coverage ratio,Supplier concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Bank covenant compliance,Rent payment timeliness,,,,no data available for this dimension
MSME-00255,Revenue CAGR (3yr),Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,Rent payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00256,Current ratio,Revenue CAGR (3yr),,Civil suit status,Cheque bounce rate,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,EPFO on-time remittance ratio,Salary payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00257,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,,no data available for this dimension,EPFO on-time remittance ratio,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00258,Current ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Salary payment timeliness,,,,no data available for this dimension
